old_car_id,old_car_title,old_car_make,old_car_model,old_price,old_coe,new_car_id,new_car_name,new_car_model,new_price,no_owners,manufactured,similarity
2638,kia stonic 1.0t ex,kia,stonic,86700,33199,58,kia stonic,1.0t ex ,96999,2,2018,100
2803,kia stonic 1.0t ex,kia,stonic,89000,35710,58,kia stonic,1.0t ex ,96999,1,2019,100
6167,kia stonic 1.0t ex,kia,stonic,84500,31759,58,kia stonic,1.0t ex ,96999,1,2019,100
8543,kia stonic 1.0t ex,kia,stonic,75700,25920,58,kia stonic,1.0t ex ,96999,1,2018,100
11693,kia stonic 1.0t ex,kia,stonic,81200,25689,58,kia stonic,1.0t ex ,96999,1,2019,100
6202,bmw 2 series 218i gran coupe luxury,bmw,218i,158200,39500,89,bmw 2 series gran coupe,218i luxury ,215888,1,2020,100
7939,bmw 2 series 218i gran coupe luxury,bmw,218i,161700,41503,89,bmw 2 series gran coupe,218i luxury ,215888,2,2020,100
13139,bmw 2 series 218i gran coupe luxury,bmw,218i,158200,39500,89,bmw 2 series gran coupe,218i luxury ,215888,2,2020,100
15077,bmw 2 series 218i gran coupe luxury,bmw,218i,160400,37705,89,bmw 2 series gran coupe,218i luxury ,215888,3,2019,100
13852,bmw 7 series 740li,bmw,740li,193400,59889,342,bmw 7 series,740li ,412000,2,2015,100
6183,bmw 4 series 420i convertible sport,bmw,420i,112000,79500,420,bmw 4 series convertible,420i sport ,263000,2,2014,100
8585,toyota corolla hatchback hybrid 1.8a ascent sport,toyota,corolla,109800,39406,214,toyota corolla hatchback hybrid,1.8 ascent sport ,146000,1,2018,99
7261,porsche panamera 4 3.0a pdk executive,porsche,panamera,470800,50526,339,porsche panamera,4 pdk 3.0 executive ,537000,3,2017,99
10493,mini john cooper works clubman 2.0a,mini,cooper,252900,49778,405,mini john cooper works clubman,2,261888,1,2020,99
12659,mini john cooper works clubman 2.0a,mini,cooper,152800,55414,405,mini john cooper works clubman,2,261888,3,2017,99
2167,porsche 911 turbo s cabriolet 3.8a pdk,porsche,911,1098900,52200,432,porsche 911 cabriolet,turbo s pdk 3.8 ,1013000,1,2020,99
4253,porsche 911 turbo s cabriolet 3.8a pdk,porsche,911,1151600,41503,432,porsche 911 cabriolet,turbo s pdk 3.8 ,1013000,1,2020,99
950,porsche macan 2.0a pdk,porsche,macan,234100,48109,92,porsche macan,pdk 2.0 ,260888,2,2017,98
1003,porsche macan 2.0a pdk,porsche,macan,214500,48556,92,porsche macan,pdk 2.0 ,260888,1,2016,98
1165,porsche macan 2.0a pdk,porsche,macan,209000,56206,92,porsche macan,pdk 2.0 ,260888,2,2016,98
2314,porsche macan 2.0a pdk,porsche,macan,192300,56000,92,porsche macan,pdk 2.0 ,260888,1,2016,98
2943,porsche macan 2.0a pdk,porsche,macan,160400,74000,92,porsche macan,pdk 2.0 ,260888,2,2014,98
3202,porsche macan 2.0a pdk,porsche,macan,371800,45001,92,porsche macan,pdk 2.0 ,260888,1,2021,98
3677,porsche macan 2.0a pdk,porsche,macan,230800,57390,92,porsche macan,pdk 2.0 ,260888,3,2017,98
3826,porsche macan 2.0a pdk,porsche,macan,206600,56000,92,porsche macan,pdk 2.0 ,260888,2,2016,98
4406,porsche macan 2.0a pdk,porsche,macan,202200,56000,92,porsche macan,pdk 2.0 ,260888,1,2016,98
4653,porsche macan 2.0a pdk,porsche,macan,218700,56410,92,porsche macan,pdk 2.0 ,260888,1,2016,98
5283,porsche macan 2.0a pdk,porsche,macan,184800,60001,92,porsche macan,pdk 2.0 ,260888,2,2015,98
5359,porsche macan 2.0a pdk,porsche,macan,266100,31000,92,porsche macan,pdk 2.0 ,260888,2,2018,98
5767,porsche macan 2.0a pdk,porsche,macan,324400,49300,92,porsche macan,pdk 2.0 ,260888,1,2020,98
6063,porsche macan 2.0a pdk,porsche,macan,270400,48209,92,porsche macan,pdk 2.0 ,260888,1,2018,98
7624,porsche macan 2.0a pdk,porsche,macan,277200,34509,92,porsche macan,pdk 2.0 ,260888,1,2018,98
7745,porsche macan 2.0a pdk,porsche,macan,328800,40301,92,porsche macan,pdk 2.0 ,260888,1,2019,98
8948,porsche macan 2.0a pdk,porsche,macan,245100,42661,92,porsche macan,pdk 2.0 ,260888,1,2017,98
9788,porsche macan 2.0a pdk,porsche,macan,234900,57000,92,porsche macan,pdk 2.0 ,260888,2,2017,98
10745,porsche macan 2.0a pdk,porsche,macan,190300,49156,92,porsche macan,pdk 2.0 ,260888,3,2016,98
10795,porsche macan 2.0a pdk,porsche,macan,235200,57414,92,porsche macan,pdk 2.0 ,260888,1,2017,98
12407,porsche macan 2.0a pdk,porsche,macan,262700,47002,92,porsche macan,pdk 2.0 ,260888,1,2017,98
13701,porsche macan 2.0a pdk,porsche,macan,354200,35001,92,porsche macan,pdk 2.0 ,260888,1,2019,98
14264,porsche macan 2.0a pdk,porsche,macan,216500,57508,92,porsche macan,pdk 2.0 ,260888,2,2016,98
398,honda freed hybrid 1.5a g welcab,honda,freed,170500,40101,99,honda freed hybrid,1.5 g welcab ,163000,1,2019,98
11779,honda freed hybrid 1.5a g welcab,honda,freed,129800,39700,99,honda freed hybrid,1.5 g welcab ,163000,1,2019,98
8673,skoda superb 2.0a tsi ambition,skoda,superb,139700,41503,109,skoda superb,2.0 tsi ambition ,98900,1,2020,98
10494,skoda superb 2.0a tsi ambition,skoda,superb,133100,35889,109,skoda superb,2.0 tsi ambition ,98900,1,2020,98
1866,skoda kamiq 1.5a tsi monte carlo,skoda,kamiq,138600,51900,122,skoda kamiq,1.5 tsi monte carlo ,91900,1,2020,98
8829,toyota harrier hybrid 2.5a s,toyota,harrier,171500,60001,187,toyota harrier hybrid,2.5 s ,190000,1,2021,98
5156,toyota harrier hybrid 2.5a g,toyota,harrier,182200,50100,188,toyota harrier hybrid,2.5 g ,198000,1,2020,98
6324,toyota harrier hybrid 2.5a g,toyota,harrier,189200,41101,188,toyota harrier hybrid,2.5 g ,198000,1,2020,98
10883,toyota harrier hybrid 2.5a g,toyota,harrier,175800,41101,188,toyota harrier hybrid,2.5 g ,198000,1,2020,98
14765,toyota harrier hybrid 2.5a g,toyota,harrier,186800,45012,188,toyota harrier hybrid,2.5 g ,198000,1,2020,98
