name,model,price
Hyundai Tucson,1.6 DCT Turbo Sunroof (A),"$171,999$15,900 /yr"
Hyundai Tucson,1.6 DCT Turbo S Sunroof (A),"$176,999$16,200 /yr"
Kia Stonic Mild Hybrid,1.0T EX (A),"$99,999$9,700 /yr"
Kia Stonic Mild Hybrid,1.0T SX (A),"$103,999$10,100 /yr"
SKODA Octavia Mild Hybrid,1.5 TSI e`TEC Ambition (A),"$63,900(w/o COE)"
SKODA Octavia Mild Hybrid,1.5 TSI e`TEC Style (A),"$75,900(w/o COE)"
Mazda 6 Sedan,2.0 Standard (A),"$139,888$13,000 /yr"
Mazda 6 Sedan,2.0 Executive (A),"$147,888$13,600 /yr"
Mercedes`Benz GLB`Class,GLB180 Progressive 7`Seater (A),"$195,888$17,500 /yr"
Mercedes`Benz GLB`Class,GLB200 Progressive 7`Seater (A),"$237,888$21,600 /yr"
Mercedes`Benz GLB`Class,GLB250 AMG Line 7`Seater (A),"¥274,888 "
Mercedes`Benz GLB`Class,GLB35 AMG 4MATIC 7`Seater (A),"$294,888$26,700 /yr"
MG HS,1.5 Turbo (A),"$148,888$13,900 /yr"
Volkswagen Golf Mild Hybrid,1.5 eTSI DSG Life (A),"$155,400$15,200 /yr"
Volkswagen Golf Mild Hybrid,1.5 eTSI DSG Life Plus (A),"$162,400$15,700 /yr"
Volkswagen Golf Mild Hybrid,1.5 eTSI DSG R`Line (A),"$172,400$16,400 /yr"
Mercedes`Benz GLA`Class,GLA180 Progressive (A),"$185,888$16,700 /yr"
Mercedes`Benz GLA`Class,GLA200 Progressive (A),"$233,888$21,300 /yr"
Mercedes`Benz GLA`Class,GLA35 AMG 4MATIC (A),"$287,888$26,100 /yr"
Mercedes`Benz GLA`Class,GLA45 S AMG 4MATIC+ (A),"¥365,888 "
BMW iX3 Electric,Impressive 74 kWh (A),"$264,888$25,000 /yr"
Mercedes`Benz GLB`Class,GLB200 Sport 7`Seater (A),"¥206,000 "
Mercedes`Benz GLB`Class,GLB200 AMG Line 7`Seater (A),"¥213,000 "
Mercedes`Benz GLB`Class,GLB200 AMG Line Premium 7`Seater (A),"¥220,000 "
Mercedes`Benz GLB`Class,GLB200 AMG Line Premium Plus 7`Seater (A),"¥235,000 "
Mercedes`Benz GLB`Class,GLB250 4MATIC 7`Seater (A),"¥245,000 "
Mercedes`Benz GLB`Class,GLB250 AMG Line 4MATIC 7`Seater (A),"¥257,000 "
Mercedes`Benz GLB`Class,GLB250 Sport 7`Seater (A),"¥262,000 "
Mercedes`Benz GLB`Class,GLB35 AMG 4MATIC Premium Plus 7`Seater (A),"¥306,000 "
Mercedes`Benz CLA`Class Coupe,CLA180 AMG Line (A),"¥196,000 "
Mercedes`Benz CLA`Class Coupe,CLA200 AMG Line (A),"¥197,000 "
Mercedes`Benz CLA`Class Coupe,CLA200 AMG Line Premium (A),"¥198,000 "
Mercedes`Benz CLA`Class Coupe,CLA180 AMG Line Premium (A),"¥201,000 "
Mercedes`Benz CLA`Class Coupe,CLA180 AMG Line Premium Plus (A),"¥210,000 "
Mercedes`Benz CLA`Class Coupe,CLA250 AMG Line Premium Plus (A),"¥213,000 "
Mercedes`Benz CLA`Class Coupe,CLA250 AMG Line Premium Plus Night Edition (A),"¥214,000 "
Mercedes`Benz CLA`Class Coupe,CLA200 AMG Line Premium Plus (A),"¥216,000 "
Mercedes`Benz CLA`Class Coupe,CLA35 AMG Premium Plus 4MATIC (A),"¥284,000 "
Mercedes`Benz CLA`Class Coupe,CLA45 S AMG 4MATIC+ (A),"¥308,000 "
Mercedes`Benz CLA`Class Coupe,CLA45 S AMG 4MATIC+ Plus (A),"¥343,000 "
Audi A3 Sedan Mild Hybrid,1.5 TFSI S tronic (A),"$189,415$18,100 /yr"
Audi A3 Sedan Mild Hybrid,1.5 TFSI S tronic [Sport Seats] (A),"¥189,513 "
Nissan Note e`POWER Hybrid,Lite (A),"¥117,800 "
Nissan Note e`POWER Hybrid,Premium (A),"$120,800$11,700 /yr"
Mercedes`Benz E`Class Saloon Mild Hybrid,E200 Sport (A),"¥242,000 "
Mercedes`Benz E`Class Saloon Mild Hybrid,E200 AMG Line [UK] (A),"¥245,000 "
Mercedes`Benz E`Class Saloon Mild Hybrid,E200 Exclusive (A),"¥267,000 "
Mercedes`Benz E`Class Saloon Mild Hybrid,E200 AMG Line (A),"¥273,000 "
Mercedes`Benz E`Class Saloon Mild Hybrid,E300 AMG Edition (A),"¥313,000 "
Mercedes`Benz E`Class Saloon Mild Hybrid,E53 AMG 4MATIC+ Night Edition Premium Plus (A),"¥415,000 "
BMW 3 Series Sedan,318i Sport (A),"$243,888$21,900 /yr"
BMW 3 Series Sedan,318i M Sport (A),"$251,888$22,500 /yr"
