,title,make,model,manufactured,reg_year,transmission_auto,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,dereg_value,mileage,omv,arf,opc_revised,opc_old,road_tax,type_of_vehicle_1,type_of_vehicle_2,type_of_vehicle_3,type_of_vehicle_4,make_model_1,make_model_2,make_model_3,make_model_4,make_model_5,make_model_6,make_model_7,make_model_8,make_model_9,make_model_10,category_almost new car,category_coe car,category_consignment car,category_direct owner sale,category_electric cars,category_hybrid cars,category_imported used vehicle,category_low mileage car,category_opc car,category_parf car,category_premium ad car,category_rare & exotic,category_sgcarmart warranty cars,category_sta evaluated car,category_vintage cars,fuel_type_diesel,fuel_type_electric,fuel_type_petrol-electric,coe_valid_time,price
0,bmw 3 series 320i gran turismo m-sport,bmw,320i,2013.0,2013.0,1,1560.0,135.0,1997.0,1.0,17700.0,77100.0,47514.0,73000.0,45330.0,50462.0,0,0,1210.0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,71300.0
1,toyota hiace 3.0m,toyota,hiace,2014.0,2015.0,0,1740.0,111.0,2982.0,3.0,11630.0,10660.0,3648.0,110112.0,27502.0,1376.0,0,0,2363.986,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,43800.0
2,mercedes-benz cla-class cla180,mercedes-benz,cla180,2016.0,2016.0,1,1430.0,90.0,1595.0,1.0,15070.0,53694.0,44517.0,80000.0,27886.0,26041.0,0,0,740.0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,95500.0
3,mercedes-benz e-class e180 avantgarde,mercedes-benz,e180,2019.0,2020.0,1,1635.0,115.0,1497.0,1.0,16400.0,40690.0,80301.0,9800.0,46412.0,56977.0,0,0,684.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,197900.0
4,honda civic 1.6a vti,honda,civic,2019.0,2019.0,1,1237.0,92.0,1597.0,1.0,10450.0,26667.0,36453.0,40000.0,20072.0,20101.0,0,0,742.0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,103200.0
5,mercedes-benz a-class a35 amg 4matic premium plus,mercedes-benz,a35,2020.0,2020.0,1,1555.0,225.0,1991.0,1.0,10610.0,10.0,35556.0,11000.0,34000.0,40449.25396,0,0,1202.0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,273800.0
6,volvo v40 t2,volvo,v40,2015.0,2015.0,1,1450.0,90.0,1498.0,3.0,11020.0,56001.0,37311.0,77777.0,22809.0,18933.0,0,0,684.0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,62500.0
7,mercedes-benz glc-class glc63 s amg 4matic+,mercedes-benz,amg,2018.0,2021.0,1,2080.0,375.0,3982.0,1.0,10610.0,62100.0,63010.88866566626,31787.0,53386.0,68095.0,0,0,3922.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,367300.0
8,toyota corolla altis 1.6a (coe till 04/2031),toyota,corolla,2011.0,2011.0,1,1195.0,90.0,1598.0,2.0,6280.0,42283.0,40951.0,114800.0,15263.0,15263.0,0,0,816.0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,66900.0
9,bmw 3 series 318i sport,bmw,318i,2016.0,2016.0,1,1425.0,100.0,1499.0,2.0,12640.0,56889.0,50999.0,111199.0,29860.0,28804.0,0,0,684.0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,87800.0
10,kia cerato k3 1.6a,kia,cerato,2017.0,2017.0,1,1295.0,95.3,1591.0,1.0,8270.0,42801.0,35227.0,59773.0,12900.0,12900.0,0,0,738.0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,61400.0
